                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6668,                 3.3595,                  1.838,                0.00292,                0.53846,                0.00524,                0.00232,                 2.4614,                  4.415,                  2.473,                 0.0946,                 0.0006,                 0.0006
                      1,                 1.4886,                 3.0166,                 1.7917,                0.20168,                0.25641,                0.17996,                0.09072,                 1.6439,                 3.2683,                 1.9347,               0.088171,              0.0011713,              0.0011713
                      2,                 1.1629,                 1.9506,                 1.4903,                0.87774,                0.41026,                 0.5355,                0.27644,                 1.5342,                 2.3755,                 1.9714,               0.081604,               0.001604,               0.001604
                      3,                 1.0959,                  1.505,                 1.4215,                0.77066,                0.68938,                0.72121,                0.43808,                 1.3679,                 1.6852,                 1.8769,               0.074898,              0.0018981,              0.0018981
                      4,                 1.0381,                 1.3169,                 1.3927,                0.87879,                 0.7436,                0.76501,                0.49016,                 1.3433,                 1.2738,                   1.67,               0.068054,              0.0020536,              0.0020536
                      5,                0.97513,                 1.0904,                 1.3413,                0.87729,                0.73344,                0.79688,                0.52003,                 1.3332,                 1.1821,                  1.583,               0.061071,              0.0020705,              0.0020705
                      6,                0.96169,                0.88125,                 1.2703,                0.79144,                0.77856,                0.86536,                0.53882,                 1.3605,                0.98246,                 1.6384,               0.053949,              0.0019488,              0.0019488
                      7,                0.97071,                0.78603,                 1.2876,                      1,                0.76667,                0.88785,                0.57572,                 1.2815,                0.88089,                 1.5576,               0.046689,              0.0016885,              0.0016885
                      8,                0.94201,                 0.6756,                 1.2539,                0.88705,                0.82051,                0.83957,                0.56741,                 1.2168,                0.94882,                 1.4816,                0.03929,              0.0012896,              0.0012896
                      9,                0.91956,                  0.665,                 1.1962,                 0.9135,                0.81254,                0.86202,                0.57939,                 1.2351,                0.90014,                 1.5036,               0.031752,              0.0007521,              0.0007521
