                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6913,                 3.3075,                  1.743,                0.03869,                0.10256,                0.01675,                0.00695,                  2.106,                 3.5072,                  2.114,                 0.0946,                 0.0006,                 0.0006
                      1,                 1.5209,                 2.9234,                 1.7034,                0.16529,                0.41026,                0.13673,                0.05805,                 1.7185,                 3.0592,                 1.9139,               0.088171,              0.0011713,              0.0011713
                      2,                 1.2525,                 1.9573,                 1.4544,                0.38866,                0.58974,                0.36432,                0.17518,                 1.4659,                 2.4543,                 1.5363,               0.081604,               0.001604,               0.001604
                      3,                 1.1168,                 1.4504,                 1.3584,                0.60035,                0.50093,                0.57594,                 0.3339,                 1.3963,                 1.8555,                  1.523,               0.074898,              0.0018981,              0.0018981
                      4,                 1.1177,                 1.2305,                 1.3578,                0.89072,                0.62723,                0.71937,                0.43742,                 1.3854,                 1.4745,                 1.4609,               0.068054,              0.0020536,              0.0020536
                      5,                 1.0153,                 1.0817,                 1.3234,                0.82224,                0.71795,                 0.7971,                0.52732,                 1.2227,                 1.1425,                 1.4091,               0.061071,              0.0020705,              0.0020705
                      6,                0.99253,                0.92468,                 1.2695,                0.86966,                0.69231,                0.75274,                0.48064,                 1.2667,                 1.1334,                 1.4625,               0.053949,              0.0019488,              0.0019488
                      7,                0.99329,                0.78905,                 1.2531,                0.86071,                0.69231,                0.76292,                0.50955,                 1.2545,                 1.0224,                 1.4527,               0.046689,              0.0016885,              0.0016885
                      8,                0.96745,                0.70896,                 1.2359,                0.88104,                0.75982,                0.78239,                0.52194,                 1.2223,                0.90585,                 1.4262,                0.03929,              0.0012896,              0.0012896
                      9,                0.97309,                0.75571,                  1.197,                0.90851,                  0.764,                0.79864,                0.52884,                 1.2661,                0.89207,                 1.4463,               0.031752,              0.0007521,              0.0007521
