                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.3158,                 3.9841,                 3.0445,                0.22003,                0.08333,                0.03201,                 0.0059,                 3.8406,                 2.9867,                 2.6748,                  0.091,                  0.001,                  0.001
                      1,                 3.2906,                 2.3696,                  2.105,                 0.1842,                0.29167,                0.14804,                0.05541,                 2.5522,                 1.8599,                 1.6387,               0.080892,              0.0018921,              0.0018921
                      2,                 2.2179,                 1.7122,                 1.3652,                 0.5737,                  0.375,                0.44312,                0.20803,                 1.8487,                 1.4378,                 1.1453,               0.070566,              0.0025664,              0.0025664
                      3,                 1.6354,                 1.2958,                 1.1422,                0.70275,                0.41667,                0.44545,                0.32846,                 1.3263,                 1.3258,                 1.0536,               0.060023,              0.0030229,              0.0030229
                      4,                 1.5718,                 1.1663,                 1.0796,                0.70282,                    0.5,                0.56093,                0.38273,                 1.1897,                0.96951,                0.96321,               0.049262,              0.0032616,              0.0032616
                      5,                 1.4471,                  1.058,                 1.0367,                 0.7441,                0.54167,                0.60572,                0.39216,                 1.2911,                0.84252,                0.98889,               0.038283,              0.0032825,              0.0032825
                      6,                 1.3266,                0.99834,                 1.0093,                0.75864,                0.45833,                0.54931,                0.36813,                 1.2083,                   1.25,                0.97852,               0.027086,              0.0030856,              0.0030856
                      7,                 1.3528,                0.99463,                 1.0117,                0.77018,                0.55913,                 0.6199,                0.40971,                  1.264,                0.91599,                  1.018,               0.015671,              0.0026709,              0.0026709
                      8,                 1.2414,                0.89142,                0.98958,                0.72525,                0.55029,                 0.6262,                0.40914,                 1.2176,                 0.8926,                 1.0008,              0.0040384,              0.0020384,              0.0020384
                      9,                 1.1869,                0.82159,                0.96471,                0.80236,                0.58333,                 0.6419,                0.44743,                 1.1771,                0.79949,                 0.9831,                0.00109,                0.00109,                0.00109
